IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.155.132,,10000,tcp,7.8,High,80,"WillNotFix","Webmin <= 1.941 RCE Vulnerability","Webmin is prone to an authenticated remote code execution (RCE)
  vulnerability.","Installed version: 1.580
Fixed version:     None

",1.3.6.1.4.1.25623.1.0.141897,"CVE-2019-9624",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,5ea46a7f-3179-4bde-ba92-be0c427d36ee,"","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","Webmin through version 1.941. The vendor does not classify this vulnerability
  as workable exploit, as it requires that the attacker already knows the root password. Hence there is no fix for
  it in Webmin.","","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.941 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141897)
Version used: 2024-06-28T15:38:46Z
","","","",""
192.168.155.132,,80,tcp,7.5,High,80,"VendorFix","Joomla! < 1.6.1 Multiple Security Vulnerabilities","Joomla! is prone to multiple security vulnerabilities.","Installed version: 1.5.0
Fixed version:     1.6.1

",1.3.6.1.4.1.25623.1.0.103114,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,522eb95e-3078-4b60-bef8-9620d4568330,"An attacker can exploit these vulnerabilities to execute
  arbitrary script code in the browser of an unsuspecting user in the context of the affected site,
  steal cookie-based authentication credentials, disclose or modify sensitive information, exploit
  latent vulnerabilities in the underlying database, deny service to legitimate users, redirect a
  victim to a potentially malicious site, or perform unauthorized actions. Other attacks are also
  possible.","The vendor released a patch. Please see the references for more
  information.","Joomla! versions prior to 1.6.1.","The following flaws exist:

  - An SQL-injection issue

  - A path-disclosure vulnerability

  - Multiple cross-site scripting issues

  - Multiple information-disclosure vulnerabilities

  - A URI-redirection vulnerability

  - A security-bypass vulnerability

  - A cross-site request-forgery vulnerability

  - A denial-of-service vulnerability","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 1.6.1 Multiple Security Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.103114)
Version used: 2022-07-22T10:11:18Z
","","","",""
192.168.155.132,,80,tcp,7.5,High,98,"VendorFix","Drupal Core SQLi Vulnerability (SA-CORE-2014-005) - Active Check","Drupal is prone to an SQL injection (SQLi) vulnerability.","Vulnerable URL: http://192.168.155.132/drupal-7.0/?q=node&destination=node
",1.3.6.1.4.1.25623.1.0.105101,"CVE-2014-3704",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,135bdfc6-6d37-401c-a5b8-641ff68246a3,"Exploiting this issue could allow an attacker to execute
  arbitrary code, to gain elevated privileges and to compromise the application, access or modify
  data, or exploit latent vulnerabilities in the underlying database.","Updates are available. Please see the references for more
  information.","Drupal 7.x versions prior to 7.32 are vulnerable.","Drupal fails to sufficiently sanitize user-supplied data before
  using it in an SQL query.","Sends a special crafted HTTP POST request and checks the
  response.
Details:
Drupal Core SQLi Vulnerability (SA-CORE-2014-005) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.105101)
Version used: 2023-07-26T05:05:09Z
","","","DFN-CERT-2014-1369,DFN-CERT-2014-0958,CB-K14/1301,CB-K14/0920",""
192.168.155.132,,10000,tcp,7.5,High,98,"Mitigation","SSL/TLS: Report Vulnerable Cipher Suites for HTTPS","This routine reports all SSL/TLS cipher suites accepted by a service
  where attack vectors exists only on HTTPS services.","'Vulnerable' cipher suites accepted by this service via the SSLv3 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_DES_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.0 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_DES_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.1 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_DES_CBC_SHA (SWEET32)

'Vulnerable' cipher suites accepted by this service via the TLSv1.2 protocol:

TLS_RSA_WITH_3DES_EDE_CBC_SHA (SWEET32)
TLS_RSA_WITH_DES_CBC_SHA (SWEET32)


",1.3.6.1.4.1.25623.1.0.108031,"CVE-2016-2183,CVE-2016-6329,CVE-2020-12872",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,395b8511-cb53-49e7-9219-bec5c408bbf0,"","The configuration of this services should be changed so
  that it does not accept the listed cipher suites anymore.

  Please see the references for more resources supporting you with this task.","Services accepting vulnerable SSL/TLS cipher suites via HTTPS.","These rules are applied for the evaluation of the vulnerable cipher suites:

  - 64-bit block cipher 3DES vulnerable to the SWEET32 attack (CVE-2016-2183).","
Details:
SSL/TLS: Report Vulnerable Cipher Suites for HTTPS
(OID: 1.3.6.1.4.1.25623.1.0.108031)
Version used: 2024-06-14T05:05:48Z
","Product: cpe:/a:ietf:transport_layer_security
Method: SSL/TLS: Report Supported Cipher Suites
(OID: 1.3.6.1.4.1.25623.1.0.802067)
","","DFN-CERT-2021-1618,DFN-CERT-2021-0775,DFN-CERT-2021-0770,DFN-CERT-2021-0274,DFN-CERT-2020-2141,DFN-CERT-2020-0368,DFN-CERT-2019-1455,DFN-CERT-2019-0068,DFN-CERT-2018-1296,DFN-CERT-2018-0323,DFN-CERT-2017-2070,DFN-CERT-2017-1954,DFN-CERT-2017-1885,DFN-CERT-2017-1831,DFN-CERT-2017-1821,DFN-CERT-2017-1785,DFN-CERT-2017-1626,DFN-CERT-2017-1326,DFN-CERT-2017-1239,DFN-CERT-2017-1238,DFN-CERT-2017-1090,DFN-CERT-2017-1060,DFN-CERT-2017-0968,DFN-CERT-2017-0947,DFN-CERT-2017-0946,DFN-CERT-2017-0904,DFN-CERT-2017-0816,DFN-CERT-2017-0746,DFN-CERT-2017-0677,DFN-CERT-2017-0675,DFN-CERT-2017-0611,DFN-CERT-2017-0609,DFN-CERT-2017-0522,DFN-CERT-2017-0519,DFN-CERT-2017-0482,DFN-CERT-2017-0351,DFN-CERT-2017-0090,DFN-CERT-2017-0089,DFN-CERT-2017-0088,DFN-CERT-2017-0086,DFN-CERT-2016-1943,DFN-CERT-2016-1937,DFN-CERT-2016-1732,DFN-CERT-2016-1726,DFN-CERT-2016-1715,DFN-CERT-2016-1714,DFN-CERT-2016-1588,DFN-CERT-2016-1555,DFN-CERT-2016-1391,DFN-CERT-2016-1378,WID-SEC-2024-1277,WID-SEC-2024-0209,WID-SEC-2024-0064,WID-SEC-2022-2226,WID-SEC-2022-1955,CB-K21/1094,CB-K20/1023,CB-K20/0321,CB-K20/0314,CB-K20/0157,CB-K19/0618,CB-K19/0615,CB-K18/0296,CB-K17/1980,CB-K17/1871,CB-K17/1803,CB-K17/1753,CB-K17/1750,CB-K17/1709,CB-K17/1558,CB-K17/1273,CB-K17/1202,CB-K17/1196,CB-K17/1055,CB-K17/1026,CB-K17/0939,CB-K17/0917,CB-K17/0915,CB-K17/0877,CB-K17/0796,CB-K17/0724,CB-K17/0661,CB-K17/0657,CB-K17/0582,CB-K17/0581,CB-K17/0506,CB-K17/0504,CB-K17/0467,CB-K17/0345,CB-K17/0098,CB-K17/0089,CB-K17/0086,CB-K17/0082,CB-K16/1837,CB-K16/1830,CB-K16/1635,CB-K16/1630,CB-K16/1624,CB-K16/1622,CB-K16/1500,CB-K16/1465,CB-K16/1307,CB-K16/1296",""
192.168.155.132,,80,tcp,7.5,High,80,"VendorFix","Joomla! Remote File Upload Vulnerability And Information Disclosure Weakness","Joomla! is prone to a remote file-upload vulnerability and an information
  disclosure weakness.","Installed version: 1.5.0
Fixed version:     1.5.13

",1.3.6.1.4.1.25623.1.0.100333,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,5f5eabcc-c4e2-4c2a-8e41-918e58cdbe3c,"Attackers can exploit these issues to disclosure sensitive information, or
  upload arbitrary code and execute it in the context of the webserver process. This may facilitate unauthorized
  access or privilege escalation, other attacks are also possible.","The vendor has released updates to address the issues. Please see the
  references for more information.","Joomla! 1.5.x versions prior to 1.5.13 are vulnerable.","","
Details:
Joomla! Remote File Upload Vulnerability And Information Disclosure Weakness
(OID: 1.3.6.1.4.1.25623.1.0.100333)
Version used: 2024-03-04T14:37:58Z
","","","",""
192.168.155.132,,8080,tcp,7.5,High,95,"Mitigation","HTTP Brute Force Logins With Default Credentials Reporting","It was possible to login into the remote Web Application using
  default credentials.","It was possible to login with the following credentials (<URL>:<User>:<Password>:<HTTP status code>)

http://192.168.155.132:8080/host-manager/html:tomcat:tomcat:HTTP/1.1 200 OK
http://192.168.155.132:8080/manager/html:tomcat:tomcat:HTTP/1.1 200 OK
http://192.168.155.132:8080/manager/status:tomcat:tomcat:HTTP/1.1 200 OK

",1.3.6.1.4.1.25623.1.0.103240,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,b73375b0-db37-45d8-a8a7-7ee814c87702,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","","As the VT 'HTTP Brute Force Logins With Default Credentials'
  (OID: 1.3.6.1.4.1.25623.1.0.108041) might run into a timeout the actual reporting of this
  vulnerability takes place in this VT instead.","Reports default credentials detected by the VT
  'HTTP Brute Force Logins With Default Credentials' (OID: 1.3.6.1.4.1.25623.1.0.108041).
Details:
HTTP Brute Force Logins With Default Credentials Reporting
(OID: 1.3.6.1.4.1.25623.1.0.103240)
Version used: 2022-08-04T13:37:02Z
","","","",""
192.168.155.132,,21,tcp,7.5,High,95,"Mitigation","FTP Brute Force Logins Reporting","It was possible to login into the remote FTP server using
  weak/known credentials.","It was possible to login with the following credentials <User>:<Password>

admin:password
",1.3.6.1.4.1.25623.1.0.108718,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2001-1594,CVE-2013-7404,CVE-2017-8218,CVE-2018-19063,CVE-2018-19064",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,e9a235cd-4bd5-4ec0-8d09-18cfcb2d196b,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","","The following devices are / software is known to be affected:

  - CVE-2001-1594: Codonics printer FTP service as used in GE Healthcare eNTEGRA P&R

  - CVE-2013-7404: GE Healthcare Discovery NM 750b

  - CVE-2017-8218: vsftpd on TP-Link C2 and C20i devices

  - CVE-2018-19063, CVE-2018-19064: Foscam C2 and Opticam i5 devices

  Note: As the VT 'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717) might run into a
  timeout the actual reporting of this vulnerability takes place in this VT instead.","Reports weak/known credentials detected by the VT
  'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717).
Details:
FTP Brute Force Logins Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108718)
Version used: 2023-12-06T05:06:11Z
","","","",""
192.168.155.132,,27017,tcp,7.5,High,95,"Workaround","Unprotected MongoDB Service","The remote MongoDB service is unprotected.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.105235,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,dbf3a410-df50-470e-baec-8d1781b5cd83,"Attackers can exploit this issue to obtain sensitive information that
  may lead to further attacks.","Enable authentication or restrict access to the MongoDB service.","","","Send a local.startup_log query and check the response.
Details:
Unprotected MongoDB Service
(OID: 1.3.6.1.4.1.25623.1.0.105235)
Version used: 2023-07-25T05:05:58Z
","Product: cpe:/a:mongodb:mongodb:2.4.9
Method: MongoDB Detection
(OID: 1.3.6.1.4.1.25623.1.0.100747)
","","",""
192.168.155.132,,8080,tcp,6.8,Medium,99,"Mitigation","Apache Tomcat servlet/JSP container default files","The Apache Tomcat servlet/JSP container has default files installed.","The following default files were found : 
http://192.168.155.132:8080/examples/servlets/index.html
http://192.168.155.132:8080/examples/jsp/snp/snoop.jsp
http://192.168.155.132:8080/examples/jsp/index.html

",1.3.6.1.4.1.25623.1.0.12085,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,57313edc-13c3-49a7-bac4-d82c22b26473,"These files should be removed as they may help an attacker to guess the
  exact version of the Apache Tomcat which is running on this host and may
  provide other useful information.","Remove default files, example JSPs and Servlets from the Tomcat
  Servlet/JSP container.","","Default files, such as documentation, default Servlets and JSPs were found on
  the Apache Tomcat servlet/JSP container.","
Details:
Apache Tomcat servlet/JSP container default files
(OID: 1.3.6.1.4.1.25623.1.0.12085)
Version used: 2023-08-01T13:29:10Z
","Product: cpe:/a:apache:tomcat:7.0.52
Method: Apache Tomcat Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.107652)
","","",""
192.168.155.132,,80,tcp,6.4,Medium,80,"VendorFix","Joomla! Open Redirect Vulnerability (20240202)","Joomla! is prone to an open redirect vulnerability in the
  installation application.","Installed version: 1.5.0
Fixed version:     3.10.15
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.151798,"CVE-2024-21723",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,a364b539-aa4a-4ce7-9732-b88288793da9,"","Update to version 3.10.15, 4.4.3, 5.0.3 or later.","Joomla! version 1.5.0 through 3.10.14, 4.0.0 through 4.4.2 and
  5.0.0 through 5.0.2.","Inadequate parsing of URLs could result into an open
  redirect.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Open Redirect Vulnerability (20240202)
(OID: 1.3.6.1.4.1.25623.1.0.151798)
Version used: 2024-02-23T14:36:45Z
","","","DFN-CERT-2024-0450,WID-SEC-2024-0430",""
192.168.155.132,,21,tcp,6.4,Medium,80,"Mitigation","Anonymous FTP Login Reporting","Reports if the remote FTP Server allows anonymous logins.","It was possible to login to the remote FTP service with the following anonymous account(s):

anonymous:anonymous@example.com
ftp:anonymous@example.com

",1.3.6.1.4.1.25623.1.0.900600,"CVE-1999-0497",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,e52061c9-9c69-4cca-8b38-b3171e5768a1,"Based on the files accessible via this anonymous FTP login and
  the permissions of this account an attacker might be able to:

  - gain access to sensitive files

  - upload or delete files.","If you do not want to share files, you should disable anonymous
  logins.","","A host that provides an FTP service may additionally provide
  Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the
  host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although
  users are commonly asked to send their email address as their password, little to no verification
  is actually performed on the supplied data.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
Anonymous FTP Login Reporting
(OID: 1.3.6.1.4.1.25623.1.0.900600)
Version used: 2021-10-20T09:03:29Z
","","","",""
192.168.155.132,,80,tcp,6.3,Medium,80,"VendorFix","Joomla! <= 3.9.19 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.9.20
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.113726,"CVE-2020-15695,CVE-2020-15696,CVE-2020-15697,CVE-2020-15698,CVE-2020-15699,CVE-2020-15700",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,8d2711f6-dbc1-4b0a-aa12-1399be2778d5,"Successful exploitation would allow an attacker to
  read sensitive information, inject arbitrary HTML and JavaScript into the site
  or perform actions in the context of another use.","Update to version 3.9.20.","Joomla! through version 3.9.19.","The following vulnerabilities exist:

  - A missing token check in the remove request section of com_privacy causes a CSRF vulnerability. (CVE-2020-15695)

  - Lack of input filtering and escaping allows XSS attacks in mod_random_image. (CVE-2020-15696)

  - Internal read-only fields in the User table class could be modified by users. (CVE-2020-15697)

  - Inadequate filtering on the system information screen could expose Redis or proxy credentials. (CVE-2020-15698)

  - Missing validation checks on the usergroups table object can result in a broken site configuration. (CVE-2020-15699)

  - A missing token check in the ajax_install endpoint of com_installer causes a CSRF vulnerability. (CVE-2020-15700)","Checks if a vulnerable version is present on the target host.
Details:
Joomla! <= 3.9.19 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113726)
Version used: 2021-07-22T11:01:40Z
","","","DFN-CERT-2020-1517,CB-K20/0716",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","Joomla Uri class XSS Vulnerability","Joomla is prone to a cross-site scripting (XSS) vulnerability.","Installed version: 1.5.0
Fixed version:     3.8.4
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.812681,"CVE-2018-6379",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,9dded418-aeeb-497d-8c89-3e9a993fa2cb,"Successfully exploiting this issue will allow remote attackers to execute
arbitrary javascript code in the context of current user.","Update to version 3.8.4 or later.","Joomla version 1.5.0 through 3.8.3.","The flaw exists due to inadequate input filtering in the Uri class (formerly
JUri).","Checks if a vulnerable version is present on the target host.
Details:
Joomla 'Uri' class XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.812681)
Version used: 2021-09-29T12:07:39Z
","","","DFN-CERT-2018-0214,CB-K18/0197",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities","Joomla is prone to information disclosure and cross-site scripting vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.7.0

",1.3.6.1.4.1.25623.1.0.811042,"CVE-2017-7983,CVE-2017-7986,CVE-2017-7985",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,f2d16c06-914c-4620-8b64-9846d73385cf,"Successfully exploiting these issues allow
  remote attackers to gain access to potentially sensitive information and
  conduct cross-site scripting attacks.","Upgrade to Joomla version 3.7.0 or later.","Joomla core versions 1.5.0 through 3.6.5","Multiple flaws are due to:

  - Mail sent using the JMail API leaked the used PHPMailer version in the mail
    headers.

  - Inadequate filtering of specific HTML attributes.

  - Inadequate filtering of multibyte characters.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Information Disclosure and Cross-Site Scripting Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.811042)
Version used: 2023-11-03T05:05:46Z
","","","DFN-CERT-2017-1151,DFN-CERT-2017-0720,CB-K17/1113,CB-K17/0698",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","Joomla Media Manager XSS Vulnerability (20180509)","Joomla is prone to a cross-site scripting (XSS) vulnerability.","Installed version: 1.5.0
Fixed version:     3.8.8
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.813406,"CVE-2018-6378",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,90bd3098-e6d2-4d5a-a2da-b19bb9c870b5,"Successful exploitation will allow remote
  attackers to conduct XSS attack.","Update to version 3.8.8 or later. Please see the references for more information.","Joomla versions 1.5.0 through 3.8.7","The flaw exists due to inadequate filtering
  of file and folder names in media manager.","Checks if a vulnerable version is present on the target host.
Details:
Joomla 'Media Manager' XSS Vulnerability (20180509)
(OID: 1.3.6.1.4.1.25623.1.0.813406)
Version used: 2021-09-29T12:07:39Z
","","","DFN-CERT-2018-0979",""
192.168.155.132,,10000,tcp,6.1,Medium,80,"WillNotFix","Webmin <= 1.995 XSS Vulnerability","Webmin is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.580
Fixed version:     None
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.126099,"CVE-2022-36880",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,d4946695-de38-4668-bb1b-d838cebd98d2,"An HTML email crafted by an attacker could capture browser
  cookies when opened.","No known solution was made available for at least one year since
  the disclosure of this vulnerability. Likely none will be provided anymore. General solution options
  are to upgrade to a newer release, disable respective features, remove the product or replace the
  product by another one.","Webmin version 1.995 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.995 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.126099)
Version used: 2023-08-03T05:05:16Z
","","","WID-SEC-2022-0838",""
192.168.155.132,,10000,tcp,6.1,Medium,80,"VendorFix","Webmin <= 1.941 Multiple XSS Vulnerabilities","Webmin is prone to multiple cross-site scripting vulnerabilities.","Installed version: 1.580
Fixed version:     1.953
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.144734,"CVE-2020-8820,CVE-2020-8821,CVE-2020-12670",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,73105f8f-9afe-4653-9e1c-dfc10fcfc55e,"","Update to version 1.953 or later.","Webmin version 1.941 and prior.","The following vulnerabilities exist:

  - XSS in the Command Shell module (CVE-2020-8820 and CVE-2020-8821)

  - XSS in the Read Mail module (CVE-2020-12670)","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.941 Multiple XSS Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.144734)
Version used: 2021-08-16T12:00:57Z
","","","CB-K20/0973",""
192.168.155.132,,10000,tcp,6.1,Medium,80,"VendorFix","Webmin < 2.003 XSS Vulnerability","Webmin is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.580
Fixed version:     2.003
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.126206,"CVE-2022-3844",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,20ab8110-de28-44c8-8b75-c44778ca0129,"","Update to version 2.003 or later.

  Note: While there is no dedicated mention of the fix in any changelog the relevant code fix/commit
  as been included in the GitHub tag '2.003'.","Webmin prior to version 2.003.","An XSS vulnerability exists in an unknown function of the file
  xterm/index.cgi.","Checks if a vulnerable version is present on the target host.
Details:
Webmin < 2.003 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.126206)
Version used: 2023-11-10T16:09:31Z
","","","WID-SEC-2022-1957",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","Joomla! Core Cross-Site Scripting Vulnerability (Jul 2017)","Joomla is prone to a cross-site scripting (XSS) vulnerability.","Installed version: 1.5.0
Fixed version:     3.7.4

",1.3.6.1.4.1.25623.1.0.811257,"CVE-2017-11612",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,87d440cf-d379-4e0a-8a73-4b156206c68a,"Successfully exploiting this issue will allow
  remote attacker to conduct cross-site scripting attacks.","Upgrade to Joomla version 3.7.4 or later.","Joomla core versions 1.5.0 through 3.7.3.","The flaw exists due to Inadequate filtering
  of potentially malicious HTML tags in various components of the application.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Core Cross-Site Scripting Vulnerability (Jul 2017)
(OID: 1.3.6.1.4.1.25623.1.0.811257)
Version used: 2024-02-19T05:05:57Z
","","","DFN-CERT-2017-1286,CB-K17/1245",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.8.3
Fixed version:     1.9.0
Installation
path / port:       /phpMyAdmin/js/get_scripts.js.php?scripts[]=jquery/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://192.168.155.132/phpMyAdmin/js/get_scripts.js.php?scripts[]=jquery/jquery-1.8.3.min.js
- Referenced at:   http://192.168.155.132/phpMyAdmin/
",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,54c8217d-0350-4f93-86b8-0b4663ee1f41,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","","","DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",""
192.168.155.132,,80,tcp,6.1,Medium,80,"VendorFix","jQuery < 1.9.0 XSS Vulnerability","jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.3.2
Fixed version:     1.9.0
Installation
path / port:       /mutillidae/javascript/ddsmoothmenu/jquery.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://192.168.155.132/mutillidae/javascript/ddsmoothmenu/jquery.min.js
- Referenced at:   http://192.168.155.132/mutillidae/
",1.3.6.1.4.1.25623.1.0.141636,"CVE-2012-6708",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,37ef9a1a-f509-4f18-b9d5-d2566048b2b4,"","Update to version 1.9.0 or later.","jQuery prior to version 1.9.0.","The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","","","DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",""
